transporter_density,Vmax,KD,affinity,ontology,response,genome_size,cell_size,mingt,sav
0.06802000555748255,2.909270792860905,0.16300004166575713,17.848282510421477,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.0808130775794696,0.004200516530698759,19.23884288726422,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.0808130775794696,0.004383640289155788,18.43515257841395,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,3.6365884910761315,0.17122494065790408,21.238661126720963,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.17317088052743485,0.005172842304939752,33.47693015154688,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.11544725368495656,0.00684638088382351,16.862522790359648,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.23089450736991313,0.00890798823381937,25.91993852139556,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,2.181953094645679,0.15405568042020196,14.163405651087894,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.05772362684247828,0.004114734505372119,14.028517943773872,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,4.363906189291358,0.19956452532300528,21.867143883554228,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,2.909270792860905,0.1793614093979768,16.220160192907816,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,5.091223887506584,0.1927390881406943,26.415108303252577,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.11544725368495656,0.005018056137963222,23.006369500644013,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.10390252831646091,0.004461395532057619,23.289243818411347,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,3.6365884910761315,0.16363930836514906,22.223196415382986,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.06926835221097394,0.0044029654226553985,15.73220444897309,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.20780505663292181,0.008589901685827225,24.19178521865815,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.02051396993003442,1.316098692008505,0.05967955361935066,22.052756969378027,Sugars,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.23089450736991313,0.00890798540317183,25.919946757849363,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.02051396993003442,2.63219738401701,0.0792528291128277,33.21266147192931,Sugars,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.02051396993003442,2.63219738401701,0.0792528291128277,33.21266147192931,Sugars,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.046178901473982625,0.0037650791172191833,12.265054740228008,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,2.909270792860905,0.16300004166575713,17.848282510421477,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,1.4546353964304526,0.14419832400134427,10.087741355557585,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,3.6365884910761315,0.17122494065790408,21.238661126720963,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.11544725368495656,0.007148577714679307,16.149681558037823,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.23089450736991313,0.009110179437496658,25.344671743738946,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.02051396993003442,1.316098692008505,0.06186082868585481,21.275154568200055,Sugars,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.02051396993003442,1.316098692008505,0.06186082868585481,21.275154568200055,Sugars,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,4.363906189291358,0.19084154469192335,22.866646758367196,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,2.909270792860905,0.17233228319864985,16.881751572381525,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.11544725368495656,0.006865596326937636,16.815327931820196,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
1.0e-12,0.0,0.0012588504154702762,0.0,Auxins,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.002159365255793097,0.23089450736991313,0.008920642107573488,25.88317125444224,Nucleotides,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.06802000555748255,4.363906189291358,0.1788661641965801,24.397605935660774,Amino acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
0.0010796826278965486,0.13853670442194788,0.004735661589370221,29.253928264830126,Organic acids,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6
