transporter_density,Vmax,KD,affinity,ontology,response,genome_size,cell_size,mingt,sav,yield
0.003315963777126977,0.1383003790714626,0.014053812487326458,9.84077304263025,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.25
2.7002624060492044e-5,0.0019708683328170376,0.0013220051124381066,1.4908174819250628,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.1646153846153846
2.7002624060492044e-5,0.0019708683328170376,0.0013796386303923382,1.4285395388331268,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.1646153846153846
0.002486972832845233,0.12965660537949622,0.011341655907156275,11.431893758801698,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.2
1.1278788357574752e-5,0.0017640354473400844,0.0015391792000750742,1.1460884133920486,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.06666666666666667
0.00011042170420003253,0.005756759035608666,0.0016203520609191105,3.552782863955668,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.42799999999999994
3.683585622225036e-5,0.003840823680056172,0.0016907444177863614,2.2716760970205314,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.14266666666666666
0.005154347840093746,0.16123101187087607,0.02010898822167147,8.017857989350121,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.3566666666666666
4.311345720301611e-5,0.002247690217316148,0.001367414895343718,1.6437514502510673,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.26749999999999996
0.002058442525304557,0.12877856967715198,0.011157529429526088,11.541853462323497,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.19454545454545452
0.0038657608800703102,0.16123101187087613,0.017841359850975395,9.03692393503635,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.35666666666666663
0.0016579818885634884,0.12101283168752977,0.008915530913431587,13.573261408944175,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.14285714285714285
1.7544781889560726e-5,0.0018293700935378657,0.0015274664346939994,1.1976499463337453,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.1
1.991211059344849e-5,0.0018685873590992069,0.0013695581959158943,1.3643723681632864,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.11888888888888886
0.002486972832845233,0.12965660537949622,0.01083919621307158,11.961828426275392,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.2
3.4526903135432916e-5,0.0021600434049062257,0.001421906156025708,1.519118118838197,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.23777777777777773
4.0928729135833726e-5,0.0038408236800561713,0.0016527654354187675,2.323877059470939,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.14266666666666666
0.0006000315406229767,0.03753867431939699,0.004048481917175279,9.272284052978703,Sugars,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.16666666666666666
3.683585622225036e-5,0.003840823680056172,0.001690743880526836,2.271676818880084,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.14266666666666666
0.0002744883534414349,0.03434462426294327,0.003343914472475349,10.270784299551625,Sugars,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.08916666666666664
0.0002744883534414349,0.03434462426294327,0.003343914472475349,10.270784299551625,Sugars,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.08916666666666664
6.136128381063985e-5,0.0025592224106488278,0.0013262596518942755,1.9296541269226815,Organic acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.35666666666666663
0.003315963777126977,0.1383003790714626,0.014053812487326458,9.84077304263025,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.25
0.017350973252408593,0.36183238710557064,0.06121341739785033,5.910997988461879,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.7133333333333333
0.002486972832845233,0.12965660537949622,0.011341655907156275,11.431893758801698,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.2
0.0001358305694675669,0.007081432620146575,0.0018075710231606652,3.917651107154944,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.5349999999999999
3.727896320547473e-5,0.003887025831125987,0.0017316917996301542,2.244640664092859,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.15285714285714283
0.0006085512582383131,0.03807167780871906,0.004237969326663814,8.983471770120053,Sugars,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.1783333333333333
0.0006085512582383131,0.03807167780871906,0.004237969326663814,8.983471770120053,Sugars,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.1783333333333333
0.002109391715729629,0.13196601056437274,0.01090419387127112,12.102316972927154,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.21399999999999997
0.003395184754737519,0.14160448369091735,0.015187500503632602,9.323751703385811,Amino acids,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.26749999999999996
0.00011042170420003253,0.005756759035608666,0.0016248998334400663,3.54283932900717,Nucleotides,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.42799999999999994
1.0e-12,0.0,0.0012588504173690995,0.0,Auxins,positive,6679185,1.1395682394337316e-16,7.0,997479.5766104822,0.10190476190476189
