transporter_density,Vmax,KD,affinity,ontology,response,genome_size,mingt,sav,yield,cell_size
0.003192071535322798,0.13652748791073435,0.008627159069722811,15.82531245886961,Amino acids,positive,6679185,7.0,1.6457272122219626e6,4.0,2.5373409150352896e-17
2.5993742222721076e-5,0.0019456035065767196,0.0012704000955187202,1.5314887911609494,Organic acids,positive,6679185,7.0,1.6457272122219626e6,6.074766355140187,2.5373409150352896e-17
2.5993742222721076e-5,0.0019456035065767196,0.0013257838652373595,1.4675118302396837,Organic acids,positive,6679185,7.0,1.6457272122219626e6,6.074766355140187,2.5373409150352896e-17
0.0023940536514920987,0.12799451991631347,0.007066296220567016,18.113381596397737,Amino acids,positive,6679185,7.0,1.6457272122219626e6,5.0,2.5373409150352896e-17
1.0857386174567341e-5,0.0017414220396777345,0.001512634676011971,1.1512509049898,Organic acids,positive,6679185,7.0,1.6457272122219626e6,15.0,2.5373409150352896e-17
0.0001062960884223376,0.005682962367246684,0.0014197695528476238,4.002735765003834,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,2.3364485981308416,2.5373409150352896e-17
3.54595815965652e-5,0.0037915876447104646,0.0016036825541865135,2.364300612245415,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,7.009345794392524,2.5373409150352896e-17
0.004961769225890361,0.1591641698441204,0.012136644177470157,13.114347550831605,Amino acids,positive,6679185,7.0,1.6457272122219626e6,2.80373831775701,2.5373409150352896e-17
4.150263657172499e-5,0.002218876774105873,0.0012867029295971749,1.72446702581188,Organic acids,positive,6679185,7.0,1.6457272122219626e6,3.738317757009346,2.5373409150352896e-17
0.0019815342487895476,0.12712773987173348,0.007033168338091812,18.07545813786463,Amino acids,positive,6679185,7.0,1.6457272122219626e6,5.140186915887851,2.5373409150352896e-17
0.0037213269194177707,0.1591641698441204,0.010879927821627774,14.62915677875402,Amino acids,positive,6679185,7.0,1.6457272122219626e6,2.8037383177570097,2.5373409150352896e-17
0.001596035767661399,0.11946155192189256,0.00570716292568206,20.9318629023747,Amino acids,positive,6679185,7.0,1.6457272122219626e6,7.0,2.5373409150352896e-17
1.688926738266031e-5,0.0018059191522583915,0.0014874105114977161,1.214136338487994,Organic acids,positive,6679185,7.0,1.6457272122219626e6,10.0,2.5373409150352896e-17
1.9168147092552687e-5,0.0018446336864177773,0.001329140525302485,1.3878394731798405,Organic acids,positive,6679185,7.0,1.6457272122219626e6,8.41121495327103,2.5373409150352896e-17
0.0023940536514920987,0.12799451991631347,0.006753244134843128,18.953042028486752,Amino acids,positive,6679185,7.0,1.6457272122219626e6,5.0,2.5373409150352896e-17
3.3236896452757165e-5,0.002132353517972736,0.00135274119161753,1.5763203864761377,Organic acids,positive,6679185,7.0,1.6457272122219626e6,4.205607476635515,2.5373409150352896e-17
3.9399535107294656e-5,0.0037915876447104637,0.0015594842603558485,2.4313086967901083,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,7.009345794392524,2.5373409150352896e-17
0.0005776129444869825,0.037057461004342186,0.0028734856621042866,12.896344496531986,Sugars,positive,6679185,7.0,1.6457272122219626e6,6.0,2.5373409150352896e-17
3.54595815965652e-5,0.0037915876447104646,0.0016036820445922077,2.364301363537813,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,7.009345794392524,2.5373409150352896e-17
0.00026423281998489594,0.03390435590516211,0.0026301161334896387,12.890820855190832,Sugars,positive,6679185,7.0,1.6457272122219626e6,11.21495327102804,2.5373409150352896e-17
0.00026423281998489594,0.03390435590516211,0.0026301161334896387,12.890820855190832,Sugars,positive,6679185,7.0,1.6457272122219626e6,11.21495327102804,2.5373409150352896e-17
5.906868126059954e-5,0.0025264153943511175,0.0012211477726735544,2.0688858882490844,Organic acids,positive,6679185,7.0,1.6457272122219626e6,2.8037383177570097,2.5373409150352896e-17
0.003192071535322798,0.13652748791073435,0.008627159069722811,15.82531245886961,Amino acids,positive,6679185,7.0,1.6457272122219626e6,4.0,2.5373409150352896e-17
0.016702699894130917,0.3571940090687817,0.03609347464721456,9.896359731504747,Amino acids,positive,6679185,7.0,1.6457272122219626e6,1.4018691588785048,2.5373409150352896e-17
0.0023940536514920987,0.12799451991631347,0.007066296220567016,18.113381596397737,Amino acids,positive,6679185,7.0,1.6457272122219626e6,5.0,2.5373409150352896e-17
0.00013075561844640238,0.006990654782935708,0.0015499420398280904,4.510268515402722,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,1.869158878504673,2.5373409150352896e-17
3.588613305590555e-5,0.003837197524191523,0.0016415827702333662,2.337498659081339,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,6.542056074766356,2.5373409150352896e-17
0.0005858143453214833,0.037583631850245616,0.003002733911085974,12.516470977161294,Sugars,positive,6679185,7.0,1.6457272122219626e6,5.60747663551402,2.5373409150352896e-17
0.0005858143453214833,0.037583631850245616,0.003002733911085974,12.516470977161294,Sugars,positive,6679185,7.0,1.6457272122219626e6,5.60747663551402,2.5373409150352896e-17
0.0020305798570755713,0.13027432052550988,0.006862487569279203,18.983541931456376,Amino acids,positive,6679185,7.0,1.6457272122219626e6,4.672897196261683,2.5373409150352896e-17
0.003268332630023343,0.13978923676867,0.009313085202647176,15.009981518147814,Amino acids,positive,6679185,7.0,1.6457272122219626e6,3.738317757009346,2.5373409150352896e-17
0.0001062960884223376,0.005682962367246684,0.0014237543590599647,3.9915329010819436,Nucleotides,positive,6679185,7.0,1.6457272122219626e6,2.3364485981308416,2.5373409150352896e-17
